qseqid	sseqid	evalue	bitscore	length	nident	mismatch	gapopen	slength	taxonomy	kingdom	phylum	class	order	family	genus	species	qlength	identity	coverage
ITSall_OTUa_10096	SH216423.07FU_AB586985	3.7e-149	529	296	295	1	0	1037	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Microcera;s__Microcera_rubra;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera_rubra	296	0.996621621621622	1
ITSall_OTUa_10101	SH193082.07FU_KU977720	4.01e-142	506	283	282	1	0	1027	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Hortaea;s__Hortaea_sp;	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Hortaea	NA	283	0.996466431095406	1
ITSall_OTUa_10112	SH211367.07FU_HQ608045	4.11e-123	443	289	272	14	1	597	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unclassified_Leotiomycetes;f__unclassified_Leotiomycetes;g__unclassified_Leotiomycetes;s__Leotiomycetes_sp;	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA	289	0.941176470588235	1
ITSall_OTUa_10118	SH188189.07FU_KF385256	4.29e-129	462	283	273	9	1	583	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;g__Neodevriesia;s__Neodevriesia_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	NA	283	0.964664310954064	1
ITSall_OTUa_10121	undefined_KY228751	5.76e-128	459	292	279	9	3	308	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unclassified_Chaetothyriales;g__unclassified_Chaetothyriales;s__Chaetothyriales_sp;	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA	309	0.955479452054795	0.944983818770227
ITSall_OTUa_10123	undefined_KX195803	3.85e-143	509	308	300	5	3	342	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	326	0.974025974025974	0.94478527607362
ITSall_OTUa_10137	undefined_KX220807	5.77e-22	107	72	67	5	0	434	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	417	0.930555555555556	0.172661870503597
ITSall_OTUa_10145	undefined_KX221524	0	700	396	393	3	0	409	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	416	0.992424242424242	0.951923076923077
ITSall_OTUa_10161	undefined_KP897628	1.17e-149	531	306	303	1	2	350	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	324	0.990196078431373	0.944444444444444
ITSall_OTUa_10167	SH521488.07FU_KT833148	3.72e-117	423	283	266	14	3	736	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unclassified_Teratosphaeriaceae;s__Teratosphaeriaceae_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	NA	NA	280	0.939929328621908	1.01071428571429
ITSall_OTUa_10176	undefined_KX222850	2.82e-75	284	335	268	38	10	344	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	330	0.8	1.01515151515152
ITSall_OTUa_10178	SH216706.07FU_AF444625	8.31e-165	581	361	347	11	2	625	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Microbotryomycetes_fam_Incertae_sedis;g__Colacogloea;s__Colacogloea_cycloclastica;	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Colacogloea	Colacogloea_cycloclastica	361	0.961218836565097	1
ITSall_OTUa_10187	undefined_KX194284	5.2e-128	459	262	259	3	0	296	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	282	0.988549618320611	0.929078014184397
ITSall_OTUa_10189	SH186563.07FU_DQ238726	0	693	387	386	1	0	645	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales;f__Microbotryaceae;g__Microbotryum;s__Microbotryum_cordae;	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum	Microbotryum_cordae	394	0.997416020671835	0.982233502538071
ITSall_OTUa_10193	undefined_KX195491	4.69e-168	592	348	340	8	0	382	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	368	0.977011494252874	0.945652173913043
ITSall_OTUa_10197	SH459870.07FU_GQ413953	3.03e-131	470	292	280	11	1	513	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	295	0.958904109589041	0.989830508474576
ITSall_OTUa_10202	SH202790.07FU_FJ008691	2.17e-101	370	299	267	25	7	558	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unclassified_Dothideomycetes;f__unclassified_Dothideomycetes;g__unclassified_Dothideomycetes;s__Dothideomycetes_sp;	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	294	0.892976588628763	1.01700680272109
ITSall_OTUa_10207	SH213146.07FU_KF513514	2.17e-63	244	309	242	34	9	589	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unclassified_Dothideomycetes;f__unclassified_Dothideomycetes;g__unclassified_Dothideomycetes;s__Dothideomycetes_sp;	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	293	0.783171521035599	1.05460750853242
ITSall_OTUa_10210	SH020542.07FU_GQ999235	5.43e-128	459	294	279	14	1	670	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_sp;	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA	293	0.948979591836735	1.00341296928328
ITSall_OTUa_10228	SH531626.07FU_AB934066	3.5e-111	403	276	255	17	1	531	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Neopseudolachnella;s__Neopseudolachnella_magnispora;	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Neopseudolachnella	Neopseudolachnella_magnispora	281	0.923913043478261	0.98220640569395
ITSall_OTUa_10244	SH198773.07FU_GQ272632	3.36e-118	426	284	265	19	0	587	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Sporendonema;s__Sporendonema_purpurascens;	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sporendonema	Sporendonema_purpurascens	305	0.933098591549296	0.931147540983607
ITSall_OTUa_10254	undefined_KX195803	2.46e-139	497	309	296	11	1	342	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	329	0.957928802588997	0.939209726443769
ITSall_OTUa_10256	SH025791.07FU_EU520595	1.9e-114	414	278	260	16	2	575	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unclassified_Capnodiales;g__unclassified_Capnodiales;s__Capnodiales_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA	277	0.935251798561151	1.00361010830325
ITSall_OTUa_10278	SH013308.07FU_KP323400	8.18e-132	471	281	274	6	1	601	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unclassified_Helotiales;g__unclassified_Helotiales;s__Helotiales_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA	280	0.97508896797153	1.00357142857143
ITSall_OTUa_1028	SH006558.07FU_KY173383	5.73e-147	522	294	292	2	0	574	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Anungitea;s__Anungitea_sp;	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Anungitea	NA	308	0.993197278911565	0.954545454545455
ITSall_OTUa_10291	SH205444.07FU_KF617636	5.6e-109	396	302	272	25	4	1147	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unclassified_Hypocreales;g__unclassified_Hypocreales;s__Hypocreales_sp;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	301	0.900662251655629	1.00332225913621
ITSall_OTUa_10293	undefined_KJ827063	1.23e-129	464	280	272	3	2	284	k__Fungi;p__Ascomycota;c__unclassified_Ascomycota;o__unclassified_Ascomycota;f__unclassified_Ascomycota;g__unclassified_Ascomycota;s__Ascomycota_sp;	Fungi	Ascomycota	NA	NA	NA	NA	NA	284	0.971428571428571	0.985915492957746
ITSall_OTUa_10294	undefined_KX222435	1.04e-61	239	320	250	46	10	322	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	326	0.78125	0.98159509202454
ITSall_OTUa_10295	SH629034.07FU_KX908745	1.92e-95	351	288	253	23	5	1047	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unclassified_Capnodiales;g__unclassified_Capnodiales;s__Capnodiales_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA	279	0.878472222222222	1.03225806451613
ITSall_OTUa_10301	SH182289.07FU_JF683422	8.25e-113	408	275	257	15	2	757	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium;s__Lophodermium_agathidis;	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Lophodermium	Lophodermium_agathidis	282	0.934545454545455	0.975177304964539
ITSall_OTUa_10307	SH029165.07FU_U65610	1.46e-123	444	359	318	26	7	620	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__unclassified_Septobasidiaceae;s__Septobasidiaceae_sp;	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	NA	NA	352	0.885793871866295	1.01988636363636
ITSall_OTUa_10314	SH462733.07FU_FJ839606	2.25e-139	497	292	286	5	1	709	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Brycekendrickomyces;s__Brycekendrickomyces_acaciae;	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Brycekendrickomyces	Brycekendrickomyces_acaciae	304	0.979452054794521	0.960526315789474
ITSall_OTUa_10315	SH493702.07FU_KP889586	9.05e-82	306	348	282	54	8	1280	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	345	0.810344827586207	1.00869565217391
ITSall_OTUa_10320	undefined_KX220469	3.97e-123	443	260	254	6	0	292	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	280	0.976923076923077	0.928571428571429
ITSall_OTUa_10324	SH196137.07FU_FN610909	6.59e-114	412	277	260	14	3	580	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Capnobotryella;s__Capnobotryella_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Capnobotryella	NA	275	0.938628158844765	1.00727272727273
ITSall_OTUa_10333	SH202970.07FU_KF428560	1.62e-90	334	306	264	29	9	892	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__Ilyonectria_sp;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	NA	303	0.862745098039216	1.00990099009901
ITSall_OTUa_10338	SH177642.07FU_KF709558	7.9e-145	515	288	287	1	0	592	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_sp;	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	NA	288	0.996527777777778	1
ITSall_OTUa_10340	SH476621.07FU_KF675708	9.19e-132	471	261	261	0	0	539	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	311	1	0.839228295819936
ITSall_OTUa_10362	undefined_KX195072	1.4e-59	232	282	225	49	6	311	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	299	0.797872340425532	0.94314381270903
ITSall_OTUa_10365	SH209343.07FU_EU035417	3.73e-149	529	298	296	2	0	1476	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_eucalyptorum;	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_eucalyptorum	298	0.993288590604027	1
ITSall_OTUa_10371	SH195613.07FU_KX527876	3.96e-149	529	315	308	5	2	593	k__Fungi;p__Ascomycota;c__unclassified_Ascomycota;o__unclassified_Ascomycota;f__unclassified_Ascomycota;g__unclassified_Ascomycota;s__Ascomycota_sp;	Fungi	Ascomycota	NA	NA	NA	NA	NA	315	0.977777777777778	1
ITSall_OTUa_10394	SH174122.07FU_FN555113	3.36e-156	553	306	306	0	0	560	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Magnaporthe;s__Magnaporthe_oryzae;	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthe	Magnaporthe_oryzae	306	1	1
ITSall_OTUa_10398	undefined_KC588787	3.5e-150	533	339	325	7	5	994	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	337	0.958702064896755	1.00593471810089
ITSall_OTUa_1049	SH215108.07FU_DQ885905	1.74e-140	500	289	285	3	1	1527	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Sympoventuria;s__Sympoventuria_capensis;	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Sympoventuria	Sympoventuria_capensis	288	0.986159169550173	1.00347222222222
ITSall_OTUa_1053	SH195778.07FU_FR667978	1.1e-129	464	257	257	0	0	558	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Pseudosydowia;s__Pseudosydowia_eucalypti;	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Pseudosydowia	Pseudosydowia_eucalypti	257	1	1
ITSall_OTUa_1060	SH219582.07FU_MF120225	1.15e-142	508	284	283	1	0	510	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_asiaticum;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_asiaticum	284	0.996478873239437	1
ITSall_OTUa_1068	undefined_KX192842	4.88e-128	459	266	262	3	1	318	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	266	0.984962406015038	1
ITSall_OTUa_1075	SH214354.07FU_AY627797	8.13e-158	558	314	312	2	0	650	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	314	0.993630573248408	1
ITSall_OTUa_1078	undefined_KX194113	1.76e-128	461	331	304	18	5	379	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	327	0.918429003021148	1.01223241590214
ITSall_OTUa_1079	undefined_KX193044	9.01e-138	491	289	283	5	1	342	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	288	0.97923875432526	1.00347222222222
ITSall_OTUa_108	SH183634.07FU_JX243790	0	677	382	380	1	1	1335	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp;	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	381	0.994764397905759	1.00262467191601
ITSall_OTUa_1080	SH219559.07FU_AJ608973	4.97e-154	545	305	304	1	0	559	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sp;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	NA	305	0.99672131147541	1
ITSall_OTUa_109	undefined_JQ081489	5.86e-140	499	279	278	1	0	447	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unclassified_Helotiales;g__unclassified_Helotiales;s__Helotiales_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA	279	0.996415770609319	1
ITSall_OTUa_1094	SH013028.07FU_KF128775	2.47e-125	450	261	257	3	1	619	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae;g__unclassified_Sarcosomataceae;s__Sarcosomataceae_sp;	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	NA	NA	261	0.984674329501916	1
ITSall_OTUa_11	SH213027.07FU_GU479902	2.75e-144	513	287	286	1	0	562	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	287	0.996515679442509	1
ITSall_OTUa_1102	SH527629.07FU_KP676125	1.8e-166	587	335	331	4	0	935	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phanerochaete;s__Phanerochaete_laevis;	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phanerochaete	Phanerochaete_laevis	335	0.988059701492537	1
ITSall_OTUa_1113	SH215820.07FU_KF800409	5.59e-127	455	252	252	0	0	753	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	252	1	1
ITSall_OTUa_1134	SH203801.07FU_KU515667	2.25e-145	517	286	286	0	0	538	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_sp;	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA	286	1	1
ITSall_OTUa_1145	SH005265.07FU_JQ411351	2.63e-138	493	293	286	6	1	1071	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unclassified_Sordariomycetes;f__unclassified_Sordariomycetes;g__unclassified_Sordariomycetes;s__Sordariomycetes_sp;	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	293	0.976109215017065	1
ITSall_OTUa_1160	SH215817.07FU_KX378910	1.33e-128	461	255	255	0	0	515	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__Phoma_sp;	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA	255	1	1
ITSall_OTUa_1162	SH204421.07FU_KY318485	1.15e-142	508	284	283	1	0	548	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_intricans;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_intricans	284	0.996478873239437	1
ITSall_OTUa_1163	SH196225.07FU_FJ197200	4.77e-128	459	257	256	1	0	484	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unclassified_Hyaloscyphaceae;s__Hyaloscyphaceae_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NA	NA	261	0.996108949416342	0.984674329501916
ITSall_OTUa_1164	SH200860.07FU_KR093883	2.18e-132	473	262	262	0	0	589	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Valsaceae;g__Cytospora;s__Cytospora_eucalypticola;	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	Cytospora_eucalypticola	262	1	1
ITSall_OTUa_1169	undefined_KX213740	0	668	370	370	0	0	673	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_luteus;	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_luteus	370	1	1
ITSall_OTUa_1173	SH216990.07FU_KJ937000	2.69e-131	470	265	264	0	1	582	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	NA	265	0.99622641509434	1
ITSall_OTUa_12	SH196089.07FU_KU986754	3.66e-149	529	293	293	0	0	579	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp;	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	NA	293	1	1
ITSall_OTUa_1204	undefined_LT608083	9.02e-164	578	325	323	2	0	355	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	325	0.993846153846154	1
ITSall_OTUa_1208	undefined_KJ827510	3.53e-130	466	285	276	7	2	285	k__Fungi;p__Ascomycota;c__unclassified_Ascomycota;o__unclassified_Ascomycota;f__unclassified_Ascomycota;g__unclassified_Ascomycota;s__Ascomycota_sp;	Fungi	Ascomycota	NA	NA	NA	NA	NA	284	0.968421052631579	1.00352112676056
